Name,Contact,Address,Opening Hours
Basic Medical Sciences Building Snack Bar,,"G/F, Basic Medical Sciences Building",(Closed)
Benjamin Franklin Centre Coffee Corner,(852) 2603 6009,"G/F, Benjamin Franklin Centre",7:30 am–7:30 pm (Mon–Sat)  Closed on Public Holidays
Benjamin Franklin Centre Staff Canteen,(852) 9363 0245 Email,"G/F, Benjamin Franklin Centre",11:00 am–3:00 pm & 5:00 pm–8:00 pm (Mon–Fri)  Closed on Public Holidays
Benjamin Franklin Centre Student Canteen,(852) 9363 0245 Email,"G/F, Benjamin Franklin Centre",7:30 am–8:00 pm (Mon–Fri) 8:00 am–7:30 pm (Sun)  Closed on Saturdays & Public Holidays
Benjamin Franklin Centre Vegetarian Food Shop,(852) 5581 8105,"LG14, Benjamin Franklin Centre",11:00 am–8:00 pm (Mon–Sat)  Closed on Public Holidays
Lee Shau Kee Building Snack Bar,(852) 2110 4040,"LG, Lee Shau Kee Building",8:00 am–5:00 pm (Mon–Fri)  Closed on Public Holidays
Women Cooperative Store,(852) 2994 3838,"LG, Benjamin Franklin Centre",8:00 am–6:00 pm (Mon–Fri)
Chung Chi College Staff Club,(852) 2521 8488,Opposite the Chung Chi College Chapel,11:00 am–10:00 pm (Mon–Fri) 10:00 am–10:00 pm (Sat & Public Holidays) 9:30 am–10:00 pm (Sun)
Chung Chi College Student Canteen,(852) 5480 1252,Chung Chi Tang,"G/F Canteen 7:30am–9:00pm (Mon–Sun)  1/F Canteen 11:00am–8:00pm (Mon–Fri)  Closed on Saturday, Sunday & Public Holidays"
Li Wai Chun Building CafÃ©,(852) 2618 3337,"Room G04, Li Wai Chun Building",8:00 am–8:00 pm (Mon–Fri) 8:00 am–5:00 pm (Sat)  Closed on Public Holidays
Orchid Lodge,(852) 2603 5922,Next to Ho Tim Building,8:00 am–8:00 pm (Mon–Fri) 8:00 am–5:00 pm (Sat)  Closed on Public Holidays
Pommerenke Student Centre CafÃ© (Paper&Coffee),(852) 9417 6640,"2/F, Pommerenke Student Centre",10:30 am–8:00 pm (Mon–Fri) 11:00 am–4:00 pm (Sat)  Closed on Public Holidays
Li Wai Chun Building Halal Food Outlet,(852) 2561 2081,"Room G05, Li Wai Chun Building",10:00 am–8:00 pm (Mon–Sat)  Closed on Public Holidays
New Asia College Staff Canteen,(852) 6123 1231,"LG/F, Staff Student Centre - Leung Hung Kee Building",(Closed)
New Asia College Student Canteen,(852) 6123 1231,"LG/F, Staff Student Centre - Leung Hung Kee Building",8:00 am–8:00 pm (Mon–Fri & Sun)  Closed on Public Holidays
